Issue id,Issue key,Issue Type,Summary,Status,Priority,Assignee,Reporter,Custom field (Story Points),Created,Updated,Labels,Labels,Labels,Labels,Due date,Description
20000,DPE-1011,Epic,Migrate EKS clusters to 1.31,In Progress,Highest,Alex,Priya Nair,13,2026-05-01,2026-07-10,skill:kubernetes,skill:terraform,min:senior,owner:alex,2026-09-30,As a platform user I want migrate eks clusters to 1.31 so that the team benefits.
20001,DPE-1021,Epic,Golden path for Go services in Backstage,To Do,High,,Priya Nair,21,2026-05-01,2026-07-10,skill:backstage,skill:go,,,2026-11-30,As a platform user I want golden path for go services in backstage so that the team benefits.
20002,DPE-1031,Epic,Centralise metrics and traces in OTel Collector,To Do,High,Daniell,Priya Nair,13,2026-05-01,2026-07-10,skill:observability,skill:kubernetes,owner:daniell:60,,,As a platform user I want centralise metrics and traces in otel collector so that the team benefits.
20003,DPE-1041,Epic,Self-service S3 buckets via Terraform module,To Do,Medium,,Priya Nair,8,2026-05-01,2026-07-10,skill:terraform,skill:aws,,,2026-09-15,As a platform user I want self-service s3 buckets via terraform module so that the team benefits.
20004,DPE-1051,Epic,Standardise CI pipelines into a reusable template,To Do,Medium,,Priya Nair,13,2026-05-01,2026-07-10,skill:ci-cd,,,,,As a platform user I want standardise ci pipelines into a reusable template so that the team benefits.
20005,DPE-1061,Epic,Automatic secret rotation in Vault,To Do,High,,Priya Nair,8,2026-05-01,2026-07-10,skill:terraform,skill:aws,min:senior,,2026-10-31,As a platform user I want automatic secret rotation in vault so that the team benefits.
20006,DPE-1071,Epic,Cost dashboard per squad,To Do,Low,,Priya Nair,5,2026-05-01,2026-07-10,skill:python,skill:aws,,,,As a platform user I want cost dashboard per squad so that the team benefits.
20007,DPE-1081,Epic,Rust build runtime for the monorepo,To Do,Medium,,Priya Nair,21,2026-05-01,2026-07-10,skill:rust,,,,,As a platform user I want rust build runtime for the monorepo so that the team benefits.
20008,DPE-1091,Epic,Ephemeral PR environments,To Do,High,,Priya Nair,21,2026-05-01,2026-07-10,skill:kubernetes,skill:ci-cd,owner:alex:50,owner:daniell:50,2026-12-15,As a platform user I want ephemeral pr environments so that the team benefits.
20009,DPE-1101,Epic,Autoscaling for CI runners,To Do,Medium,Karthi,Priya Nair,8,2026-05-01,2026-07-10,skill:ci-cd,skill:go,owner:karthi,,,As a platform user I want autoscaling for ci runners so that the team benefits.
20010,DPE-1111,Epic,Automated repository onboarding,To Do,Low,,Priya Nair,,2026-05-01,2026-07-10,skill:python,skill:ci-cd,,,,As a platform user I want automated repository onboarding so that the team benefits.
20011,DPE-1121,Epic,SLOs and alerting as code,To Do,Medium,,Priya Nair,13,2026-05-01,2026-07-10,skill:observability,skill:python,,,,As a platform user I want slos and alerting as code so that the team benefits.
20012,DPE-1131,Epic,Decommission legacy Jenkins,Done,Medium,Daniell,Priya Nair,8,2026-05-01,2026-07-10,skill:ci-cd,,,,,As a platform user I want decommission legacy jenkins so that the team benefits.
20013,DPE-1141,Epic,Service catalogue in Backstage,To Do,High,,Priya Nair,13,2026-05-01,2026-07-10,skill:backstage,,,,2026-10-15,As a platform user I want service catalogue in backstage so that the team benefits.
