Issue id,Issue key,Issue Type,Summary,Status,Priority,Assignee,Reporter,Custom field (Story Points),Created,Updated,Labels,Labels,Labels,Labels,Labels,Due date,Description
20000,DPE-201,Epic,Replace nginx with API gateway — prod clusters,In Progress,High,Andrew,Priya Nair,0,2026-05-01,2026-07-10,skill:kubernetes,skill:api-gateway,owner:andrew,start:2026-07-07,end:2026-09-19,2026-09-30,As a platform user I want replace nginx with api gateway — prod clusters.
20001,DPE-215,Epic,Ingress controller consolidation,In Progress,Medium,Andrew,Priya Nair,0,2026-05-01,2026-07-10,skill:kubernetes,skill:networking,owner:andrew,start:2026-09-21,end:2026-12-18,,As a platform user I want ingress controller consolidation.
20002,DPE-216,Epic,Service mesh rollout,In Progress,Medium,Andrew,Priya Nair,0,2026-05-01,2026-07-10,skill:kubernetes,skill:networking,owner:andrew,start:2027-01-05,end:2027-06-30,,As a platform user I want service mesh rollout.
20003,DPE-202,Epic,Replace nginx with API gateway — non-prod clusters,In Progress,High,Mayank,Priya Nair,0,2026-05-01,2026-07-10,skill:kubernetes,skill:api-gateway,owner:mayank,start:2026-07-07,end:2026-09-26,2026-09-30,As a platform user I want replace nginx with api gateway — non-prod clusters.
20004,DPE-217,Epic,API gateway rate limiting & authz,In Progress,Medium,Mayank,Priya Nair,0,2026-05-01,2026-07-10,skill:api-gateway,owner:mayank,start:2026-09-28,end:2026-12-31,,,As a platform user I want api gateway rate limiting & authz.
20005,DPE-218,Epic,Edge TLS automation,In Progress,Low,Mayank,Priya Nair,0,2026-05-01,2026-07-10,skill:networking,owner:mayank,start:2027-01-05,end:2027-04-30,,,As a platform user I want edge tls automation.
20006,DPE-203,Epic,Developer platform improvements — self-service,In Progress,Medium,Alex,Priya Nair,0,2026-05-01,2026-07-10,skill:terraform,skill:ci-cd,owner:alex,start:2026-07-01,end:2026-09-12,2026-09-30,As a platform user I want developer platform improvements — self-service.
20007,DPE-204,Epic,Developer platform improvements — golden paths,In Progress,Medium,Alex,Priya Nair,0,2026-05-01,2026-07-10,skill:terraform,owner:alex,start:2026-09-14,end:2026-12-04,,2026-09-30,As a platform user I want developer platform improvements — golden paths.
20008,DPE-219,Epic,Terraform module registry,In Progress,Medium,Alex,Priya Nair,0,2026-05-01,2026-07-10,skill:terraform,skill:aws,owner:alex,start:2027-01-05,end:2027-02-20,,As a platform user I want terraform module registry.
20009,DPE-205,Epic,Developer platform improvements — docs & templates,In Progress,Medium,Brad,Priya Nair,0,2026-05-01,2026-07-10,skill:python,skill:ci-cd,owner:brad,start:2026-07-01,end:2026-09-15,2026-09-30,As a platform user I want developer platform improvements — docs & templates.
20010,DPE-220,Epic,Backstage plugin suite,In Progress,Low,Brad,Priya Nair,0,2026-05-01,2026-07-10,skill:python,owner:brad,start:2026-09-16,end:2026-11-20,,,As a platform user I want backstage plugin suite.
20011,DPE-206,Epic,Artifactory remediation,In Progress,High,Karthi,Priya Nair,0,2026-05-01,2026-07-10,skill:artifactory,skill:security,owner:karthi,start:2026-07-01,end:2026-10-31,,As a platform user I want artifactory remediation.
20012,DPE-221,Epic,Vault secrets platform,In Progress,Medium,Karthi,Priya Nair,0,2026-05-01,2026-07-10,skill:security,owner:karthi,start:2026-11-02,end:2027-01-29,,,As a platform user I want vault secrets platform.
20013,DPE-207,Epic,AI foundation platform,In Progress,High,Daniell,Priya Nair,0,2026-05-01,2026-07-10,skill:ai,skill:python,owner:daniell,start:2026-07-14,end:2026-11-28,,As a platform user I want ai foundation platform.
20014,DPE-222,Epic,ML pipeline templates,In Progress,Medium,Daniell,Priya Nair,0,2026-05-01,2026-07-10,skill:ai,skill:python,owner:daniell,start:2026-11-30,end:2027-06-30,,As a platform user I want ml pipeline templates.
20015,DPE-210,Epic,CICD pipeline improvements — parallel test stages,To Do,Medium,,Priya Nair,0,2026-05-01,2026-07-10,skill:ci-cd,,,,,,As a platform user I want cicd pipeline improvements — parallel test stages.
20016,DPE-211,Epic,CICD pipeline improvements — build caching,To Do,Medium,,Priya Nair,0,2026-05-01,2026-07-10,skill:ci-cd,,,,,,As a platform user I want cicd pipeline improvements — build caching.
20017,DPE-212,Epic,CICD pipeline improvements — self-service templates,To Do,Low,,Priya Nair,0,2026-05-01,2026-07-10,skill:ci-cd,skill:python,,,,,As a platform user I want cicd pipeline improvements — self-service templates.
20018,DPE-213,Epic,Kubernetes cost optimisation,To Do,Medium,,Priya Nair,0,2026-05-01,2026-07-10,skill:kubernetes,,,,,,As a platform user I want kubernetes cost optimisation.
20019,DPE-214,Epic,Secrets management rollout,To Do,Low,,Priya Nair,0,2026-05-01,2026-07-10,skill:security,,,,,,As a platform user I want secrets management rollout.
20020,DPE-223,Epic,Rust build tooling,To Do,Low,,Priya Nair,0,2026-05-01,2026-07-10,skill:rust,,,,,,As a platform user I want rust build tooling.
20021,DPE-199,Epic,Decommission legacy CI server,Done,Medium,Karthi,Priya Nair,0,2026-05-01,2026-07-10,skill:ci-cd,,,,,,As a platform user I want decommission legacy ci server.
